key	value
GAME_LOADING	Oadinglay...
EXP_COUNTER_MAX	AXmay
MAIN_MENU_BUTTON_SINGLEPLAY	Ingleplayersay
MAIN_MENU_BUTTON_SINGLEPLAY_TOOLTIP	Artstay ayay Ingleplayersay Amegay.
MAIN_MENU_BUTTON_MULTIPLAY	Ultiplayermay
MAIN_MENU_BUTTON_MULTIPLAY_TOOLTIP	Artstay ayay Etplaynay Amegay.
MAIN_MENU_BUTTON_MULTIPLAY_DISABLED_TOOLTIP	Ultiplayermay isyay isabledday onyay isthay emoday.
MAIN_MENU_BUTTON_SETTINGS	Ettingssay
MAIN_MENU_BUTTON_SETTINGS_TOOLTIP	Onfigurecay Amegay Ettingssay.
MAIN_MENU_BUTTON_QUIT	Uitqay
MAIN_MENU_BUTTON_QUIT_TOOLTIP	Endyay Ethay Applicationyay.
CHARACTER_SELECT_HEADER	Aracterchay Electsay
CHARACTER_SELECT_HEADER_GAME_MODE_SINGLEPLAYER	Ingleplayersay
CHARACTER_SELECT_HEADER_GAME_MODE_HOST_MULTIPLAYER_PUBLIC	Osthay Amegay (Ublicpay)
CHARACTER_SELECT_HEADER_GAME_MODE_HOST_MULTIPLAYER_FRIENDS	Osthay Amegay (Iendsfray)
CHARACTER_SELECT_HEADER_GAME_MODE_HOST_MULTIPLAYER_PRIVATE	Osthay Amegay (Ivatepray)
CHARACTER_SELECT_HEADER_GAME_MODE_JOIN_MULTIPLAYER	Oinjay Amegay
CHARACTER_SELECT_HEADER_GAME_MODE_LOBBY_QUERY	Obbylay Ueryqay
CHARACTER_SELECT_BUTTON_CREATE_CHARACTER	Eatecray Aracterchay
CHARACTER_SELECT_BUTTON_DELETE_CHARACTER	Eleteday Aracterchay
CHARACTER_SELECT_BUTTON_SELECT_CHARACTER	Electsay Aracterchay
CHARACTER_SELECT_BUTTON_RETURN	Eturnray
CHARACTER_SELECT_DATA_ENTRY_EMPTY_SLOT	Emptyyay Otslay
FORMAT_CHARACTER_SELECT_DATA_ENTRY_INFO	Lvyay-{0} {1} {2}
CHARACTER_SELECT_CHARACTER_DELETE_PROMPT_TEXT	Etypay inyay ethay aracter'schay amenay otay onfirmcay.
CHARACTER_SELECT_CHARACTER_DELETE_PROMPT_PLACEHOLDER_TEXT	Enteryay Icknamenay...
CHARACTER_SELECT_CHARACTER_DELETE_BUTTON_CONFIRM	Eleteday Aracterchay
CHARACTER_SELECT_CHARACTER_DELETE_BUTTON_RETURN	Eturnray
CHARACTER_CREATION_HEADER	Aracterchay Eationcray
CHARACTER_CREATION_HEADER_RACE_NAME	Aceray Electsay
CHARACTER_CREATION_RACE_DESCRIPTOR_HEADER_INITIAL_SKILL	Initialyay Illskay
CHARACTER_CREATION_BUTTON_SET_TO_DEFAULTS	Efaultsday
CHARACTER_CREATION_CHARACTER_NAME_PLACEHOLDER_TEXT	Enteryay Amenay...
CHARACTER_CREATION_BUTTON_CREATE_CHARACTER	Eatecray Aracterchay
CHARACTER_CREATION_BUTTON_RETURN	Eturnray
CHARACTER_CREATION_CUSTOMIZER_HEADER_COLOR	Olorcay
CHARACTER_CREATION_CUSTOMIZER_COLOR_BODY_HEADER	Odybay
CHARACTER_CREATION_CUSTOMIZER_COLOR_BODY_TEXTURE	Exturetay
CHARACTER_CREATION_CUSTOMIZER_COLOR_HAIR_HEADER	Airhay
CHARACTER_CREATION_CUSTOMIZER_COLOR_HAIR_LOCK_COLOR	Ocklay Olorcay
CHARACTER_CREATION_CUSTOMIZER_HEADER_HEAD	Eadhay
CHARACTER_CREATION_CUSTOMIZER_HEAD_HEAD_WIDTH	Eadhay Idthway
CHARACTER_CREATION_CUSTOMIZER_HEAD_HEAD_MOD	Odifymay
CHARACTER_CREATION_CUSTOMIZER_HEAD_VOICE_PITCH	Oicevay Itchpay
CHARACTER_CREATION_CUSTOMIZER_HEAD_HAIR_STYLE	Airhay
CHARACTER_CREATION_CUSTOMIZER_HEAD_EARS	Earsyay
CHARACTER_CREATION_CUSTOMIZER_HEAD_EYES	Eyesyay
CHARACTER_CREATION_CUSTOMIZER_HEAD_MOUTH	Outhmay
CHARACTER_CREATION_CUSTOMIZER_HEADER_BODY	Odybay
CHARACTER_CREATION_CUSTOMIZER_BODY_HEIGHT	Eighthay
CHARACTER_CREATION_CUSTOMIZER_BODY_WIDTH	Idthway
CHARACTER_CREATION_CUSTOMIZER_BODY_CHEST	Estchay
CHARACTER_CREATION_CUSTOMIZER_BODY_ARMS	Armsyay
CHARACTER_CREATION_CUSTOMIZER_BODY_BELLY	Ellybay
CHARACTER_CREATION_CUSTOMIZER_BODY_BOTTOM	Ottombay
CHARACTER_CREATION_CUSTOMIZER_BODY_TAIL	Ailtay
CHARACTER_CREATION_CUSTOMIZER_BODY_TOGGLE_LEFT_HANDED	Irrormay Odybay
CHARACTER_CREATION_CUSTOMIZER_HEADER_TRAIT	Aittray
CHARACTER_CREATION_CUSTOMIZER_TRAIT_EQUIPMENT	Equipmentyay
CHARACTER_CREATION_CUSTOMIZER_TRAIT_WEAPON_LOADOUT	Eaponway
CHARACTER_CREATION_CUSTOMIZER_TRAIT_GEAR_DYE	Edyay
CHARACTER_CREATION_CUSTOMIZER_TRAIT_ATTRIBUTES	Attributesyay
CHARACTER_CREATION_CUSTOMIZER_TRAIT_RESET_ATTRIBUTE_POINTS	Esetray Ointspay
SETTINGS_TAB_BUTTON_VIDEO	Isplayday
SETTINGS_TAB_BUTTON_AUDIO	Audioyay
SETTINGS_TAB_BUTTON_INPUT	Inputyay
SETTINGS_TAB_BUTTON_NETWORK	Interfaceyay
SETTINGS_VIDEO_HEADER_GAME_EFFECT_SETTINGS	Isplayday Ensitivesay Ettingssay
SETTINGS_VIDEO_CELL_PROPORTIONS_TOGGLE	Imitlay Ayerplay Aracterchay Oportionspray
SETTINGS_VIDEO_CELL_JIGGLE_BONES_TOGGLE	Isableday Uggestivesay Igglejay Onesbay
SETTINGS_VIDEO_CELL_CLEAR_UNDERCLOTHES_TOGGLE	Enableyay Earclay Othingclay
SETTINGS_VIDEO_HEADER_VIDEO_SETTINGS	Ideovay Ettingssay
SETTINGS_VIDEO_CELL_FULLSCREEN_TOGGLE	Ullscreenfay Odemay
SETTINGS_VIDEO_CELL_VERTICAL_SYNC	Erticalvay Syncyay / Ocklay 60 FPSyay
SETTINGS_VIDEO_CELL_ANISOTROPIC_FILTERING	Anisotropicyay Ilteringfay
SETTINGS_VIDEO_CELL_SCREEN_RESOLUTION	Eenscray Esolutionray
SETTINGS_VIDEO_CELL_ANTI_ALIASING	Antiyay Aliasingyay
SETTINGS_VIDEO_CELL_ANTI_ALIASING_OPTION_1	Isabledday
SETTINGS_VIDEO_CELL_ANTI_ALIASING_OPTION_2	2xyay Ultimay Amplingsay
SETTINGS_VIDEO_CELL_ANTI_ALIASING_OPTION_3	4xyay Ultimay Amplingsay
SETTINGS_VIDEO_CELL_ANTI_ALIASING_OPTION_4	8xyay Ultimay Amplingsay
SETTINGS_VIDEO_CELL_TEXTURE_FILTERING	Exturetay Ilteringfay
SETTINGS_VIDEO_CELL_TEXTURE_FILTERING_OPTION_1	Ilnearbay (Oothsmay)
SETTINGS_VIDEO_CELL_TEXTURE_FILTERING_OPTION_2	Earestnay (Unchycray)
SETTINGS_VIDEO_CELL_TEXTURE_QUALITY	Exturetay Ualityqay
SETTINGS_VIDEO_CELL_TEXTURE_QUALITY_OPTION_1	Ighhay
SETTINGS_VIDEO_CELL_TEXTURE_QUALITY_OPTION_2	Ediummay
SETTINGS_VIDEO_CELL_TEXTURE_QUALITY_OPTION_3	Owlay
SETTINGS_VIDEO_CELL_TEXTURE_QUALITY_OPTION_4	Eryvay Owlay
SETTINGS_VIDEO_HEADER_CAMERA_SETTINGS	Ameracay Isplayday Ettingssay
SETTINGS_VIDEO_CELL_FIELD_OF_VIEW	Ieldfay Ofyay Iewvay
SETTINGS_VIDEO_CELL_CAMERA_SMOOTHING	Ameracay Oothingsmay
SETTINGS_VIDEO_CELL_CAMERA_HORIZ	Ameracay Xyay Ositionpay
SETTINGS_VIDEO_CELL_CAMERA_VERT	Ameracay Yyay Ositionpay
SETTINGS_VIDEO_CELL_CAMERA_RENDER_DISTANCE	Enderray Istanceday
SETTINGS_VIDEO_CELL_CAMERA_RENDER_DISTANCE_OPTION_1	Eryvay Earnay
SETTINGS_VIDEO_CELL_CAMERA_RENDER_DISTANCE_OPTION_2	Earnay
SETTINGS_VIDEO_CELL_CAMERA_RENDER_DISTANCE_OPTION_3	Arfay
SETTINGS_VIDEO_CELL_CAMERA_RENDER_DISTANCE_OPTION_4	Eryvay Arfay
SETTINGS_VIDEO_HEADER_POST_PROCESSING	Ostpay Ocessingpray
SETTINGS_VIDEO_CELL_CAMERA_BITCRUSH_SHADER	Enableyay Itcrushbay Adershay
SETTINGS_VIDEO_CELL_CAMERA_WATER_EFFECT	Enableyay Underwateryay Istortionday Adershay
SETTINGS_VIDEO_CELL_CAMERA_SHAKE	Enableyay Eenscray Akeshay
SETTINGS_VIDEO_CELL_WEAPON_GLOW	Isableday Eaponway Owglay Effectyay
SETTINGS_AUDIO_HEADER_AUDIO_SETTINGS	Audioyay Ettingssay
SETTINGS_AUDIO_CELL_MASTER_VOLUME	Astermay Olumevay
SETTINGS_AUDIO_CELL_MUTE_APPLICATION	Utemay Applicationyay
SETTINGS_AUDIO_CELL_MUTE_MUSIC	Utemay Usicmay
SETTINGS_AUDIO_HEADER_AUDIO_CHANNEL_SETTINGS	Audioyay Annelschay
SETTINGS_AUDIO_CELL_GAME_VOLUME	Amegay Olumevay
SETTINGS_AUDIO_CELL_GUI_VOLUME	UIgay Olumevay
SETTINGS_AUDIO_CELL_AMBIENCE_VOLUME	Ambienceyay Olumevay
SETTINGS_AUDIO_CELL_MUSIC_VOLUME	Usicmay Olumevay
SETTINGS_AUDIO_CELL_VOICE_VOLUME	Oicevay Olumevay
SETTINGS_INPUT_HEADER_INPUT_SETTINGS	Inputyay Ettingssay
SETTINGS_INPUT_CELL_AXIS_TYPE	Analogyay Ickstay Axisyay Etypay
SETTINGS_INPUT_CELL_AXIS_TYPE_OPTION_1	ASDway (8 Irectionalday)
SETTINGS_INPUT_CELL_AXIS_TYPE_OPTION_2	Oxxbay
SETTINGS_INPUT_CELL_AXIS_TYPE_OPTION_3	Aystationplay 4
SETTINGS_INPUT_HEADER_CAMERA_CONTROL	Ameracay Ontrolcay
